"","frame","release"
"1","Warframe","Release Date"
"2","Baruuk Prime","14 December 2022"
"3","Voruna","30 November 2022"
"4","Revenant Prime","05 October 2022"
"5","Styanax","07 September 2022"
"6","Khora Prime","16 July 2022"
"7","Gyre","27 April 2022"
"8","Garuda Prime","28 March 2022"
"9","Caliban","15 December 2021"
"10","Harrow Prime","15 December 2021"
"11","Nidus Prime","08 September 2021"
"12","Yareli","06 July 2021"
"13","Gara Prime","25 May 2021"
"14","Sevagoth","13 April 2021"
"15","Octavia Prime","23 February 2021"
"16","Lavos","18 December 2020"
"17","Nezha Prime","27 October 2020"
"18","Xaku","25 August 2020"
"19","Inaros Prime","14 July 2020"
"20","Protea","11 June 2020"
"21","Titania Prime","31 March 2020"
"22","Ivara Prime","17 December 2019"
"23","Grendel","31 October 2019"
"24","Atlas Prime","01 October 2019"
"25","Gauss","29 August 2019"
"26","Wukong Prime","06 July 2019"
"27","Wisp","22 May 2019"
"28","Equinox Prime","02 April 2019"
"29","Hildryn","08 March 2019"
"30","Baruuk","18 December 2018"
"31","Mesa Prime","18 December 2018"
"32","Garuda","08 November 2018"
"33","Chroma Prime","25 September 2018"
"34","Revenant","24 August 2018"
"35","Limbo Prime","19 June 2018"
"36","Excalibur Umbra","15 June 2018"
"37","Khora","20 April 2018"
"38","Zephyr Prime","20 March 2018"
"39","Mirage Prime","12 December 2017"
"40","Gara","12 October 2017"
"41","Hydroid Prime","29 August 2017"
"42","Harrow","29 June 2017"
"43","Oberon Prime","30 May 2017"
"44","Octavia","24 March 2017"
"45","Banshee Prime","28 February 2017"
"46","Nidus","22 December 2016"
"47","Valkyr Prime","22 November 2016"
"48","Nekros Prime","23 August 2016"
"49","Titania","19 August 2016"
"50","Vauban Prime","17 May 2016"
"51","Inaros","04 March 2016"
"52","Saryn Prime","16 February 2016"
"53","Nezha","16 December 2015"
"54","Ivara","03 December 2015"
"55","Wukong","25 November 2015"
"56","Trinity Prime","06 October 2015"
"57","Atlas","01 October 2015"
"58","Equinox","31 July 2015"
"59","Ash Prime","07 July 2015"
"60","Volt Prime","25 March 2015"
"61","Chroma","19 March 2015"
"62","Nova Prime","17 December 2014"
"63","Mesa","27 November 2014"
"64","Limbo","24 October 2014"
"65","Nyx Prime","24 September 2014"
"66","Mirage","18 July 2014"
"67","Loki Prime","11 June 2014"
"68","Hydroid","09 April 2014"
"69","Rhino Prime","05 March 2014"
"70","Zephyr","05 February 2014"
"71","Oberon","19 December 2013"
"72","Ember Prime","20 November 2013"
"73","Valkyr","20 November 2013"
"74","Nekros","13 September 2013"
"75","Mag Prime","13 September 2013"
"76","Nova","13 July 2013"
"77","Vauban","17 May 2013"
"78","Frost Prime","03 May 2013"
"79","Banshee","18 March 2013"
"80","Saryn","18 March 2013"
"81","Frost","29 January 2013"
"82","Nyx","29 January 2013"
"83","Excalibur Prime","18 December 2012"
"84","Excalibur","25 October 2012"
"85","Trinity","25 October 2012"
"86","Ember","25 October 2012"
"87","Loki","25 October 2012"
"88","Mag","25 October 2012"
"89","Rhino","25 October 2012"
"90","Volt","25 October 2012"
"91","Ash","25 October 2012"
